id,section,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,dsml,aisc,iss,pe,se,total score
219001264,D,female,FALSE,3,FALSE,31,91,77,76,97,80,421
219001265,F,male,FALSE,5,FALSE,4,89,80,77,88,74,408
219001266,D,male,FALSE,3,FALSE,19,97,81,97,86,63,424
219001267,C,female,FALSE,3,TRUE,15,100,74,96,99,76,445
219001268,D,female,FALSE,1,FALSE,30,96,87,96,68,65,412
219001269,C,female,FALSE,7,FALSE,17,94,100,71,92,99,456
219001270,B,female,FALSE,2,FALSE,23,98,80,75,81,60,394
219001271,E,male,FALSE,1,FALSE,3,53,98,95,71,77,394
219001272,A,female,FALSE,7,FALSE,4,44,58,66,62,68,298
219001273,C,male,FALSE,0,FALSE,25,85,73,95,70,94,417
219001274,B,male,TRUE,10,FALSE,1,51,67,79,52,75,324
219001275,B,male,FALSE,1,FALSE,24,90,82,74,92,82,420
219001276,A,male,FALSE,1,FALSE,15,100,90,66,68,70,394
219001277,B,female,TRUE,7,FALSE,1,95,61,91,92,94,433
219001278,C,male,FALSE,1,TRUE,33,76,96,74,80,98,424
219001279,C,female,FALSE,1,FALSE,11,71,96,60,79,72,378
219001280,F,male,FALSE,3,FALSE,10,95,87,71,84,98,435
219001281,B,female,FALSE,7,TRUE,15,92,76,93,75,97,433
219001282,C,male,FALSE,5,FALSE,34,82,96,100,64,91,433
219001283,F,male,FALSE,3,FALSE,30,85,83,76,81,92,417
219001284,D,female,TRUE,4,TRUE,4,82,75,92,95,85,429
219001285,F,female,FALSE,2,FALSE,28,98,94,63,88,100,443
219001286,C,male,FALSE,5,TRUE,29,93,94,84,67,68,406
219001287,E,female,FALSE,7,TRUE,30,84,60,100,88,94,426
219001288,C,male,FALSE,4,FALSE,31,81,76,60,98,77,392
219001289,D,female,FALSE,8,FALSE,1,62,84,67,51,62,326
219001290,A,female,FALSE,6,FALSE,16,92,60,94,90,86,422
219001291,F,female,FALSE,2,TRUE,18,64,61,61,94,64,344
219001292,F,female,TRUE,1,FALSE,4,89,97,67,94,93,440
219001293,E,female,FALSE,8,FALSE,32,99,84,87,96,86,452
219001294,B,female,FALSE,2,FALSE,12,95,93,99,93,86,466
219001295,F,female,TRUE,6,FALSE,5,72,67,100,94,81,414
219001296,B,female,FALSE,2,TRUE,15,68,68,90,99,74,399
219001297,B,female,FALSE,3,FALSE,31,92,78,68,80,73,391
219001298,E,male,FALSE,2,FALSE,2,97,97,60,90,97,441
219001299,E,female,FALSE,1,FALSE,2,81,94,77,63,64,379
219001300,B,male,FALSE,3,FALSE,20,88,81,85,90,76,420
219001301,D,male,FALSE,1,TRUE,11,76,70,72,60,81,359
219001302,A,female,FALSE,10,FALSE,26,77,97,82,98,95,449
219001303,B,female,FALSE,3,FALSE,22,89,99,71,74,89,422
219001304,F,female,FALSE,1,TRUE,12,65,66,65,76,60,332
219001305,A,female,TRUE,10,FALSE,4,82,76,63,61,60,342
219001306,D,female,FALSE,3,FALSE,34,77,61,91,78,91,398
219001307,C,female,FALSE,0,FALSE,9,66,88,70,70,75,369
219001308,D,female,FALSE,5,FALSE,43,90,100,87,90,89,456
219001309,B,female,FALSE,2,FALSE,1,73,90,96,61,76,396
219001310,D,female,FALSE,2,FALSE,19,89,74,97,77,88,425
219001311,A,female,TRUE,4,FALSE,2,72,54,62,79,96,363
219001312,A,male,FALSE,1,FALSE,34,87,89,88,87,70,421
219001313,C,female,FALSE,4,TRUE,31,75,96,85,69,90,415
219001314,A,female,FALSE,4,FALSE,11,80,98,99,70,96,443
219001315,C,male,FALSE,2,FALSE,35,85,87,90,91,99,452
219001316,A,male,FALSE,4,FALSE,20,92,74,76,65,74,381
219001317,C,female,TRUE,0,FALSE,22,63,92,88,68,100,411
219001318,E,female,FALSE,3,FALSE,2,99,87,80,78,87,431
219001319,A,male,FALSE,7,FALSE,1,87,51,96,71,61,366
219001320,F,female,FALSE,4,FALSE,34,87,62,76,83,93,401
219001321,E,male,TRUE,6,FALSE,17,90,71,64,89,88,402
219001322,C,male,FALSE,6,FALSE,34,94,99,100,91,69,453
219001323,F,female,TRUE,5,FALSE,25,86,81,83,70,65,385
219001324,E,male,FALSE,3,FALSE,8,96,95,78,65,86,420
219001325,B,male,FALSE,3,FALSE,4,75,85,73,93,74,400
219001326,B,female,FALSE,1,TRUE,26,74,81,79,85,86,405
219001327,D,male,FALSE,1,FALSE,13,96,96,69,99,70,430
219001328,C,female,FALSE,1,TRUE,4,79,62,98,99,82,420
219001329,A,male,FALSE,2,FALSE,27,70,60,68,82,60,340
219001330,D,male,FALSE,5,FALSE,32,79,62,87,65,94,387
219001331,F,female,FALSE,1,FALSE,25,91,86,66,85,60,388
219001332,B,female,FALSE,1,FALSE,13,90,78,61,88,74,391
219001333,F,male,FALSE,1,FALSE,31,87,86,60,78,96,407
219001334,F,female,FALSE,3,FALSE,8,69,78,85,86,73,391
219001335,A,male,TRUE,9,FALSE,0,66,50,62,60,84,322
219001336,E,male,FALSE,7,FALSE,6,65,78,65,69,63,340
219001337,F,male,FALSE,2,FALSE,7,83,88,82,83,74,410
219001338,A,male,FALSE,1,FALSE,32,100,95,63,92,75,425
219001339,D,male,FALSE,5,TRUE,30,85,78,66,62,100,391
219001340,C,male,FALSE,9,FALSE,4,45,95,66,83,100,389
219001341,F,female,FALSE,5,FALSE,15,73,94,82,90,75,414
219001342,F,male,FALSE,2,FALSE,2,95,96,97,77,61,426
219001343,D,male,FALSE,8,TRUE,32,96,61,72,83,96,408
219001344,C,male,FALSE,2,FALSE,24,94,96,93,79,64,426
219001345,C,female,FALSE,1,FALSE,18,92,69,60,88,95,404
219001346,F,male,TRUE,10,FALSE,5,56,76,95,59,85,371
219001347,F,female,TRUE,3,FALSE,24,85,65,76,95,68,389
219001348,E,male,FALSE,1,FALSE,16,65,68,99,82,86,400
219001349,D,male,FALSE,1,FALSE,15,64,95,87,91,80,417
219001350,E,male,FALSE,3,FALSE,26,100,94,67,66,96,423
219001351,A,female,FALSE,3,FALSE,15,76,64,60,92,61,353
219001352,F,female,FALSE,1,FALSE,5,97,91,76,60,85,409
219001353,C,male,FALSE,1,TRUE,14,95,98,83,93,83,452
219001354,D,male,FALSE,4,FALSE,1,85,90,94,97,61,427
219001355,F,male,FALSE,5,FALSE,10,86,96,60,73,88,403
219001356,A,female,FALSE,6,FALSE,5,100,58,100,52,82,392
219001357,A,male,FALSE,2,FALSE,26,65,66,100,77,62,370
219001358,E,female,FALSE,2,TRUE,26,71,99,74,82,67,393
219001359,E,female,FALSE,2,FALSE,14,80,97,83,77,79,416
219001360,D,male,FALSE,7,TRUE,21,91,96,77,64,83,411
219001361,F,female,FALSE,2,FALSE,32,91,88,82,70,87,418
219001362,F,male,FALSE,0,FALSE,30,100,81,100,98,97,476
219001363,E,female,FALSE,3,FALSE,13,92,71,65,91,98,417
219001364,D,female,FALSE,7,FALSE,33,89,95,83,96,61,424
219001365,A,female,FALSE,3,FALSE,15,93,92,76,93,75,429
219001366,D,male,FALSE,10,FALSE,33,81,67,74,94,96,412
219001367,A,male,FALSE,2,FALSE,11,70,70,67,86,89,382
219001368,D,female,FALSE,2,FALSE,30,61,89,97,79,79,405
219001369,D,female,FALSE,7,FALSE,2,62,78,77,95,80,392
219001370,C,male,FALSE,3,FALSE,4,83,79,99,60,76,397
219001371,F,male,FALSE,3,FALSE,32,85,87,63,69,81,385
219001372,E,female,TRUE,7,FALSE,0,83,87,74,77,61,382
219001373,E,female,FALSE,2,FALSE,4,73,54,94,58,94,373
219001374,D,male,TRUE,10,TRUE,0,61,73,78,97,96,405
219001375,A,female,FALSE,5,TRUE,21,77,81,63,73,80,374
219001376,A,female,FALSE,2,FALSE,29,77,65,91,90,90,413
219001377,D,male,FALSE,3,FALSE,32,99,94,62,79,68,402
219001378,A,female,FALSE,7,FALSE,14,73,94,78,63,71,379
219001379,A,male,FALSE,1,FALSE,25,95,96,89,99,93,472
219001380,A,male,FALSE,7,TRUE,4,94,92,100,63,98,447
219001381,F,female,FALSE,2,TRUE,32,75,85,65,94,60,379
219001382,D,male,FALSE,2,FALSE,7,66,77,91,74,62,370
219001383,E,female,TRUE,1,FALSE,22,91,89,74,74,61,389
219001384,B,male,FALSE,5,FALSE,3,81,75,65,92,80,393
219001385,D,male,TRUE,8,FALSE,1,71,69,67,78,66,351
219001386,B,male,FALSE,4,TRUE,23,77,97,77,98,98,447
219001387,E,female,FALSE,0,FALSE,42,91,93,85,85,95,449
219001388,A,male,FALSE,1,FALSE,30,83,100,93,77,76,429
219001389,E,female,FALSE,1,FALSE,1,75,70,84,64,88,381
219001390,F,female,TRUE,3,TRUE,17,86,68,71,94,89,408
219001391,F,male,FALSE,2,FALSE,48,86,89,89,89,96,449
219001392,F,male,FALSE,4,TRUE,24,85,60,82,72,72,371
219001393,A,female,FALSE,6,FALSE,31,62,80,88,94,85,409
219001394,D,male,TRUE,7,FALSE,0,100,67,61,58,84,370
219001395,F,male,FALSE,9,FALSE,2,79,97,60,74,96,406
219001396,A,female,FALSE,1,FALSE,24,99,68,85,85,73,410
219001397,F,female,FALSE,7,FALSE,2,46,97,100,73,95,411
219001398,D,male,FALSE,0,FALSE,32,85,88,61,80,84,398
219001399,F,female,FALSE,2,FALSE,4,85,89,64,66,66,370
219001400,E,male,FALSE,4,FALSE,32,85,91,63,88,62,389
219001401,B,male,FALSE,3,FALSE,16,99,90,100,77,60,426
219001402,F,female,FALSE,1,FALSE,20,84,63,91,92,76,406
219001403,C,male,FALSE,4,FALSE,28,85,87,72,85,78,407
219001404,A,male,FALSE,7,FALSE,30,100,92,92,68,72,424
219001405,A,female,FALSE,3,FALSE,17,86,68,91,86,62,393
219001406,F,female,FALSE,5,FALSE,25,79,71,95,77,68,390
219001407,B,male,FALSE,5,FALSE,18,76,76,71,89,76,388
219001408,A,male,TRUE,1,FALSE,23,96,69,67,92,77,401
